Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column9,Column10,Column11,Column12,Column13,Column15,Column16,Column17,Column18
REF. 87010559-POCKET-LM ,mujer,pantalones,7,40-42-,NULL,temporada,19-99 €,NULL,NULL,NULL,Composición: 75%  poliéster-19%  viscosa-6%  elastano. Forro bolsillo: 100%  poliéster,NULL,-Lavar a maquina max 30°c centrifugado corto-No usar lejia-Plancha max 110°c-No limpiar en seco-No se puede usar secadora,MANGO,
REF. 87020554-PUNTAA-N-LM ,mujer,pantalones,8,L-XL-,NULL,temporada,19-99 €,NULL,NULL,NULL,Composición: 69%  viscosa-26%  poliamida-5%  elastano,NULL,-Lavar a maquina max 30°c-No usar lejia-Plancha max 110°c-Limpiar en seco percloroetileno-No se puede usar secadora,MANGO,
REF. 87080549-PUNTAF-N-LM ,mujer,pantalones,7,XS-L-XL-,NULL,temporada,25-99 €,NULL,NULL,NULL,Composición: 69%  viscosa-26%  poliamida-5%  elastano,NULL,-Lavar a maquina max 30°c-No usar lejia-Plancha max 110°c-Limpiar en seco percloroetileno-No se puede usar secadora,MANGO,
REF. 87070546-ABEILLE-LM ,mujer,pantalones,8,S-,NULL,temporada,39-99 €,NULL,NULL,NULL,Composición: 61%  viscosa-27%  poliamida-10%  poliéster-2%  polyester coat,NULL,-Lavar a maquina max 30°c centrifugado corto-No usar lejia-Plancha max 110°c-Limpiar en seco restric. mecanica percloroetileno-No se puede usar secadora,MANGO,
REF. 87050553-APPLE-LM ,mujer,pantalones,9,XS-,NULL,temporada,19-99 €,NULL,NULL,NULL,Composición: 100%  poliéster. Forro: 100%  poliéster. Recubrimiento: 100%  poliuretano,NULL,#¿NOMBRE?,MANGO,
REF. 87050553-APPLE-LM ,mujer,pantalones,9,XS-S-L-,NULL,temporada,19-99 €,NULL,NULL,NULL,Composición: 100%  poliéster. Forro: 100%  poliéster. Recubrimiento: 100%  poliuretano,NULL,#¿NOMBRE?,MANGO,
REF. 87090552-LONDONPU-LM ,mujer,pantalones,7,XS-S-M-L-XL-,NULL,temporada,19-99 €,NULL,NULL,NULL,Composición: 100%  poliéster. Recubrimiento: 100%  poliuretano,NULL,-Lavar a maquina max 30°c-No usar lejia-No planchar-No limpiar en seco-No se puede usar secadora,MANGO,
REF. 87090552-LONDONPU-LM ,mujer,pantalones,8,XS-S-M-L-XL-,NULL,temporada,19-99 €,NULL,NULL,NULL,Composición: 100%  poliéster. Recubrimiento: 100%  poliuretano,NULL,-Lavar a maquina max 30°c-No usar lejia-No planchar-No limpiar en seco-No se puede usar secadora,MANGO,
REF. 87031020-CANAS-I-LM ,mujer,pantalones,9,34-36-38-40-42-,NULL,temporada,29-99 €,NULL,NULL,NULL,Composición: 62%  poliéster-33%  viscosa-5%  elastano. Vivo: 50%  viscosa-50%  poliéster. Forro bolsillo: 50%  poliéster-50%  viscosa,NULL,-Lavar a maquina max 40°c-No usar lejia-Plancha max 150°c-Limpiar en seco percloroetileno-No se puede usar secadora,MANGO,
REF. 87020557-CLAUDI-LM ,mujer,pantalones,9,36-38-42-,NULL,temporada,19-99 €,NULL,NULL,NULL,Composición: 65%  poliéster-33%  viscosa-2%  elastano. Forro: 100%  poliéster,NULL,-Lavar a maquina max 30°c centrifugado corto-No usar lejia-Plancha max 110°c-Limpiar en seco percloroetileno-No se puede usar secadora,MANGO,
REF. 87020557-CLAUDI-LM ,mujer,pantalones,8,34-,NULL,temporada,19-99 €,NULL,NULL,NULL,Composición: 73%  poliéster-21%  viscosa-6%  elastano. Forro: 100%  poliéster,NULL,-Lavar a maquina max 30°c centrifugado corto-No usar lejia-Plancha max 110°c-Limpiar en seco percloroetileno-No se puede usar secadora,MANGO,
REF. 87041037-ALTEA-LM ,mujer,pantalones,8,32-34-,NULL,temporada,29-99 €,NULL,NULL,NULL,Composición: 100%  poliéster. Forro: 100%  poliéster. Vivo: 100%  poliéster,NULL,-Lavar a maquina max 30°c-No usar lejia-Plancha max 110°c-Limpiar en seco percloroetileno-No se puede usar secadora,MANGO,
REF. 87041023-MOMO-LM ,mujer,pantalones,8,,NULL,temporada,29-99 €,NULL,NULL,NULL,Composición: 80%  viscosa-20%  poliéster,NULL,-Lavar a maquina max 30°c centrifugado corto-No usar lejia-Plancha max 110°c-Limpiar en seco percloroetileno-No se puede usar secadora,MANGO,
REF. 87061036-MUSHU-LM ,mujer,pantalones,9,XS-S-L-,NULL,temporada,19-99 €,NULL,NULL,NULL,Composición: 100%  poliéster. Forro bolsillo: 100%  poliéster,NULL,-Lavar a maquina max 30°c-No usar lejia-Plancha max 110°c-Limpiar en seco percloroetileno-No se puede usar secadora,MANGO,
REF. 87071032-DORAYAKI-LM ,mujer,pantalones,7,XS-S-L-,NULL,temporada,39-99 €,NULL,NULL,NULL,Composición: 57%  viscosa-43%  poliamida,NULL,-Lavar a mano max 30°c-No usar lejia-Plancha max 110°c-No limpiar en seco-No se puede usar secadora,MANGO,
REF. 87050158-LONDON-I-LM ,mujer,pantalones,7,XS-S-M-L-,NULL,temporada,15-99 €,NULL,NULL,NULL,Composición: 92%  algodón-8%  elastano. Ribete: 95%  algodón-5%  elastano,NULL,-Lavar a maquina max 30°c-No usar lejia-Plancha max 150°c-No limpiar en seco-No se puede usar secadora,MANGO,
REF. 87061034-ENVELOP-LM ,mujer,pantalones,8,XS-S-M-L-XL-,NULL,temporada,29-99 €,NULL,NULL,NULL,Composición: 63%  poliéster-31%  viscosa-6%  elastano. Forro: 100%  poliéster. Lazo: 63%  poliéster-31%  viscosa-6%  elastano. Vivo: 100%  poliéster,NULL,-Lavar a maquina max 30°c-No usar lejia-Plancha max 110°c-Limpiar en seco percloroetileno-No se puede usar secadora,MANGO,
REF. 87071035-MONKEY-LM ,mujer,pantalones,8,XS-S-M-L-,NULL,temporada,25-99 €,NULL,NULL,NULL,Composición: 100%  poliéster. Forro: 100%  poliéster. Lazo: 100%  poliéster. Vivo: 100%  poliéster,NULL,-Lavar a maquina max 30°c centrifugado corto-No usar lejia-Plancha max 110°c-Limpiar en seco restric. mecanica percloroetileno-No se puede usar secadora,MANGO,
REF. 87051038-PEPE-LM ,mujer,pantalones,7,32-34-36-,NULL,temporada,19-99 €,NULL,NULL,NULL,NULL,NULL,NULL,-Lavar a maquina max 30°c-No usar lejia-Plancha max 150°c-Limpiar en seco percloroetileno-No se puede usar secadora,MANGO
REF. 87091034-MAXIME7-LM ,mujer,pantalones,8,XS-S-M-,NULL,temporada,19-99 €,NULL,NULL,NULL,Composición: 92%  poliéster-8%  viscosa,NULL,-Lavar a maquina max 30°c centrifugado corto-No usar lejia-Plancha max 110°c-No limpiar en seco-No se puede usar secadora,MANGO,
REF. 87091034-MAXIME7-LM ,mujer,pantalones,8,XS-S-M-L-,NULL,temporada,19-99 €,NULL,NULL,NULL,Composición: 92%  poliéster-8%  viscosa,NULL,-Lavar a maquina max 30°c centrifugado corto-No usar lejia-Plancha max 110°c-No limpiar en seco-No se puede usar secadora,MANGO,
REF. 87040169-RIVY-I-LM ,mujer,pantalones,9,XS-S-M-L-,NULL,temporada,25-99 €,NULL,NULL,NULL,Composición: 80%  algodón-20%  poliéster,NULL,-Lavar a maquina max 30°c-No usar lejia-Plancha max 150°c-No limpiar en seco-No se puede usar secadora,MANGO,
REF. 87091509-GEGANT-LM ,mujer,pantalones,8,XS-M-L-XL-,NULL,temporada,19-99 €,NULL,NULL,NULL,Composición: 67%  acrílico-27%  poliéster-6%  poliamida,NULL,-Lavar a mano max 30°c-No usar lejia-Plancha max 110°c-No limpiar en seco-No se puede usar secadora,MANGO,
REF. 87091043-RIVI-A-LM ,mujer,pantalones,9,S-M-L-XL-,NULL,temporada,25-99 €,NULL,NULL,NULL,Composición: 64%  algodón-36%  poliéster,NULL,-Lavar a maquina max 30°c-No usar lejia-Plancha max 150°c-No limpiar en seco-No se puede usar secadora,MANGO,
REF. 87164410-COFIP6-N-LM ,mujer,pantalones,7,34-36-38-40-42-44-,NULL,temporada,25-99 €,NULL,NULL,NULL,Composición: 74%  algodón-23%  poliamida-3%  elastano. Forro: 100%  poliéster,NULL,-Lavar a mano max 30°c-No usar lejia-Plancha max 110°c-No limpiar en seco-No se puede usar secadora,MANGO,
REF. 87170595-SIMON-I-LM ,mujer,pantalones,8,34-36-38-40-42-,NULL,temporada,29-99 €,NULL,NULL,NULL,Composición: 75%  poliéster-20%  viscosa-5%  elastano. Forro: 100%  poliéster. Vivo: 100%  poliéster,NULL,-Lavar a maquina max 40°c centrifugado corto-No usar lejia-Plancha max 110°c-Limpiar en seco restric. mecanica percloroetileno-No se puede usar secadora,MANGO,
REF. 87170595-SIMON-I-LM ,mujer,pantalones,8,34-36-38-40-42-,NULL,temporada,29-99 €,NULL,NULL,NULL,Composición: 75%  poliéster-20%  viscosa-5%  elastano. Forro: 100%  poliéster. Vivo: 100%  poliéster,NULL,-Lavar a maquina max 40°c centrifugado corto-No usar lejia-Plancha max 110°c-Limpiar en seco restric. mecanica percloroetileno-No se puede usar secadora,MANGO,
REF. 87170595-SIMON-I-LM ,mujer,pantalones,9,34-36-38-40-42-,NULL,temporada,29-99 €,NULL,NULL,NULL,NULL,NULL,-Lavar a maquina max 30°c-No usar lejia-Plancha max 110°c-Limpiar en seco percloroetileno-No se puede usar secadora,MANGO,
REF. 83100767-PITIMAT-I-LM ,mujer,pantalones,6,S-,NULL,temporada,25-99 €,NULL,NULL,NULL,NULL,NULL,NULL,-Lavar a maquina max 30°c-No usar lejia-Plancha max 110°c-No limpiar en seco-No se puede usar secadora,MANGO
REF. 87185914-LUNA-A-LM ,mujer,pantalones,8,S-XL-,NULL,temporada,39-99 €,NULL,NULL,NULL,Composición: 100%  poliéster. Forro: 100%  poliéster,NULL,-Lavar a maquina max 30°c centrifugado corto-No usar lejia-Plancha max 110°c-No limpiar en seco-No se puede usar secadora,MANGO,
